ID	ALIGNMENT	COGIDS	CONCEPT	CONCEPTICON	DOCULECT	FORM	MORPHEMES	SUBGROUP	TOKENS	VALUE	BORIDS	PATIDS	NOTE
1	n a w i g ʁ a	1 2 3	blood	946	Abipon	naoigRa		Guaicuruan	n a w i g ʁ a	naoigRa			
2	n a g ʁ a t	4 5	mouth	674	Abipon	naagRat		Guaicuruan	n a g ʁ a t	naagRat			Possibly a cognate of 'degagat'
3	l + a p a ɲ i k	6 7	head	1256	Abipon	l+apañik	_:poss: head	Guaicuruan	l + a p a ɲ i k	lapañik	0	0	
4	l + e m a ʁ a t	6 8 9	head	1256	Abipon	l+ema+Rat	_:poss: head	Guaicuruan	l + e m a ʁ a t	lemaRat			
5	l + aː n k	6 10	liver	1224	Abipon	l+aank	_:poss ?	Guaicuruan	l + aː n k	l+aank			
6	ɲ a + p a k e n a	11 12	hand	1277	Abipon	ña+pakena	_:poss hand	Guaicuruan	ɲ a + p a k e n a	ñapakena			
7	None	13 14 15 9	nose	1221	Abipon	ñi+kat+Ran+Rat	? _:suf.v _:nmlz	Guaicuruan	ɲ i + k a t + ʁ a n + ʁ a t	ñi+kat+Ran+Rat			1°
8	k e t a l	16	ear	1247	Abipon	ketal		Guaicuruan	k e t a l	ketal			Also 'handle'
9	None	17 18 19	walk	1443	Abipon	k+ata+ik	_:masc move ?	Guaicuruan	k + a t a + i k	k+ata+ik			ata: ir
10	None	19	walk	1443	Abipon	apag		Guaicuruan	a p a g	apag			
11	e j a g a j a g	19	walk	1443	Abipon	eiagaiag		Guaicuruan	e j a g a j a g	eiagaiag			viajar
12	r + k iː k + i t a	20 19 21	walk	1443	Abipon	r+kiik+ita	_:3p ? ?	Guaicuruan	r + k iː k + i t a	r+kiik+ita			Rápido
13	None	1 22 3	wind	960	Abipon	n+ama+Ra	_:pos ? _:nmlz	Guaicuruan	n + a m a + ʁ a	n+ama+Ra			
14	None	6 23	egg	744	Abipon	l+kaoete	_:poss ?	Guaicuruan	l + k a w e t e	l+kaoete			
15	h a + p iː	24 25	suck	1421	Abipon	ha+pii		Guaicuruan	h a + p iː	ha+pii			
16	l + a w e n e k	6 26 27	husband	1200	Abipon	l+aoenek	_:poss spouse	Guaicuruan	l + a w e n e k	laoenek			
17	g r a w e n e	28 29 30	wife	1199	Abipon	graoene		Guaicuruan	g r a w e n e	graoene			
18	w a h i p a t	31 32	hear	1408	Abipon	oahipat		Guaicuruan	w a h i p a t	oahipat			Also 'understand'
19	h a w a q a	33 34	hear	1408	Abipon	haoaqa		Guaicuruan	h a w a q a	haoaqa			Najlis: listen, hear, understand, warn, persuade, Looks like a cognate of Toba hua'aqa
20	None	1 35 36	bird	937	Abipon	netegRanak		Guaicuruan	n + e t e g + ʁ a n a k	netegRanak			
21	None	37	bird	937	Abipon	kata		Guaicuruan	k a t a	kata			
22	n w ai	38	fish	227	Abipon	noai		Guaicuruan	n w ai	noai			Also 'sábalo'
23	e l ei	39	worm	1219	Abipon	elei		Guaicuruan	e l ei	elei			gusano
24	None	6 40	worm	1219	Abipon	l+eoanka	_:poss ?	Guaicuruan	l + e w a n k a	l+eoanka			lombrices
25	e n e n + ai + k	41 42 17	snake	730	Abipon	enen+ai+k	_:adj _:masc	Guaicuruan	e n e n + ai + k	enen+ai+k			víbora
26	n + w a p a ʁ a t	1 43 9	louse	1392	Abipon	n+oapaRat	_:poss louse	Guaicuruan	n + w a p a ʁ a t	noapaRat			
27	n e t e g i ŋ k	1 44 45	dog	2009	Abipon	netegink		Guaicuruan	n e t e g i ŋ k	netegink			Najlis - perro pelado: pelari
28	l i + a tʃ i ʁ a t	46 47 9	tongue	1205	Abipon	li+aciRat	_:poss tongue	Guaicuruan	l i + a tʃ i ʁ a t	liaciRat			
29	None	48	neck	1333	Abipon	kahate		Guaicuruan	k a h a t e	kahate			T. pescuezo
30	g r a + tʃ i tʃ i	49	breast (of woman)	1402	Abipon	gracici	_:poss breast	Guaicuruan	g r a + tʃ i tʃ i	gracici			
31	l a + t e t a	49	breast (of woman)	1402	Abipon	la+teta	_:poss breast	Guaicuruan	l a + t e t a	lateta			
32	l + a w a	6 50	wing	1257	Abipon	l+aoa	_:poss wing	Guaicuruan	l + a w a	laoa			
33	n aː l e t e	51 52	back	1291	Abipon	naalete		Guaicuruan	n aː l e t e	naalete			
34	n a k a l	51	back	1291	Abipon	nakal		Guaicuruan	n a k a l	nakal			
35	i + p iː ŋ k	53 54	bone	1394	Abipon	i+piink	_:poss bone	Guaicuruan	i + p iː ŋ k	ipiink			
36	None	55 56	leg	1297	Abipon	ni+ci	_:poss leg	Guaicuruan	n i + tʃ i	nici			
37	j a tʃ a ʁ h a q	53 57 58	foot	1301	Abipon	iacaRhaq		Guaicuruan	j a tʃ a ʁ h a q	iacaRhaq			
38	None	6 59	tooth	1380	Abipon	l+aoe	_:poss ?	Guaicuruan	l + a w e	l+aoe			
39	n + a w e l	1 60	heart	1223	Abipon	n+aoel	_:poss heart	Guaicuruan	n + a w e l	naoel			Cognates in sister languages mean heart as 'interior' or 'place of emotions', 'stomach'
40	n e o e t ʁ a n a t ʁ a	1 61 62 15 63 3	heart	1223	Abipon	neoetRanatRa		Guaicuruan	n e o e t ʁ a n a t ʁ a	neoetRanatRa			
41	None	64	sleep	1585	Abipon	roate		Guaicuruan	r w a t e	roate			
42	k ei t	65	tail	1220	Abipon	keit		Guaicuruan	k ei t	keit			Animal tail
43	None	66 67	bite	1403	Abipon	p+atag		Guaicuruan	p + a t a g	p+atag			
44	n aː g e k	68	bite	1403	Abipon	naagek		Guaicuruan	n aː g e k	naagek			
45	None	69	bite	1403	Abipon	oak		Guaicuruan	w a k	oak			T. romper
46	None	70 71	skin, hide	763	Abipon	halak	_:poss skin	Guaicuruan	h a l + a k	halak			
